year,date,number,
2022年,12月25日,第67回,
2021年,12月26日,第66回,
2020年,12月27日,第65回,
2019年,12月22日,第64回,
2018年,12月23日,第63回,
2017年,12月24日,第62回,
2016年,12月25日,第61回,
2015年,12月27日,第60回,
2014年,12月28日,第59回,
2013年,12月22日,第58回,
2012年,12月23日,第57回,
2011年,12月25日,第56回,
2010年,12月26日,第55回,
2009年,12月27日,第54回,
2008年,12月28日,第53回,
2007年,12月23日,第52回,
2006年,12月24日,第51回,
2005年,12月25日,第50回,
2004年,12月26日,第49回,
2003年,12月28日,第48回,
2002年,12月22日,第47回,
2001年,12月23日,第46回,
2000年,12月24日,第45回,
1999年,12月26日,第44回,
1998年,12月27日,第43回,
1997年,12月21日,第42回,
1996年,12月22日,第41回,
1995年,12月24日,第40回,
1994年,12月25日,第39回,
1993年,12月26日,第38回,
1992年,12月27日,第37回,
1991年,12月22日,第36回,
1990年,12月23日,第35回,
1989年,12月24日,第34回,
1988年,12月25日,第33回,
1987年,12月27日,第32回,
1986年,12月21日,第31回,
1985年,12月22日,第30回,
1984年,12月23日,第29回,
1983年,12月25日,第28回,
1982年,12月26日,第27回,
1981年,12月20日,第26回,
1980年,12月21日,第25回,
1979年,12月16日,第24回,
1978年,12月17日,第23回,
1977年,12月18日,第22回,
1976年,12月19日,第21回,
1975年,12月14日,第20回,
1974年,12月15日,第19回,
1973年,12月16日,第18回,
1972年,12月17日,第17回,
1971年,12月19日,第16回,
1970年,12月20日,第15回,
1969年,12月21日,第14回,
1968年,12月22日,第13回,
1967年,12月24日,第12回,
1966年,12月25日,第11回,
1965年,12月26日,第10回,
1964年,12月27日,第9回,
1963年,12月22日,第8回,
1962年,12月23日,第7回,
1961年,12月24日,第6回,
1960年,12月18日,第5回,
1959年,12月20日,第4回,
1958年,12月21日,第3回,
1957年,12月22日,第2回,
1956年,12月23日,第1回,